"Correlation id","Operation name","Status","Event category","Level","Time","Subscription","Event initiated by","Resource type","Resource group","Resource"
"320ef91f-089c-430a-89e7-0888d238bf73","Stop Managed Cluster","Succeeded","Administrative","Informational","2026-08-14T23:45:26.897Z","6ad49bb6-a255-4718-b1c5-dce7e90c4130","zinal3933@gmail.com","Microsoft.ContainerService/managedClusters","rg-dr-primary-eastus","/subscriptions/6ad49bb6-a255-4718-b1c5-dce7e90c4130/resourceGroups/rg-dr-primary-eastus/providers/Microsoft.ContainerService/managedClusters/aks-primary-eastus"
"320ef91f-089c-430a-89e7-0888d238bf73","Stop Managed Cluster","Started","Administrative","Informational","2026-08-14T23:43:24.661Z","6ad49bb6-a255-4718-b1c5-dce7e90c4130","zinal3933@gmail.com","Microsoft.ContainerService/managedClusters","rg-dr-primary-eastus","/subscriptions/6ad49bb6-a255-4718-b1c5-dce7e90c4130/resourceGroups/rg-dr-primary-eastus/providers/Microsoft.ContainerService/managedClusters/aks-primary-eastus"
"320ef91f-089c-430a-89e7-0888d238bf73","Stop Managed Cluster","Accepted","Administrative","Informational","2026-08-14T23:43:25.083Z","6ad49bb6-a255-4718-b1c5-dce7e90c4130","zinal3933@gmail.com","Microsoft.ContainerService/managedClusters","rg-dr-primary-eastus","/subscriptions/6ad49bb6-a255-4718-b1c5-dce7e90c4130/resourceGroups/rg-dr-primary-eastus/providers/Microsoft.ContainerService/managedClusters/aks-primary-eastus"
"320ef91f-089c-430a-89e7-0888d238bf73","Delete Virtual Machines in a Virtual Machine Scale Set","Started","Administrative","Informational","2026-08-14T23:43:32.751Z","6ad49bb6-a255-4718-b1c5-dce7e90c4130","AzureContainerService","Microsoft.Compute/virtualMachineScaleSets","MC_rg-dr-primary-eastus_aks-primary-eastus_eastus","/subscriptions/6ad49bb6-a255-4718-b1c5-dce7e90c4130/resourceGroups/MC_rg-dr-primary-eastus_aks-primary-eastus_eastus/providers/Microsoft.Compute/virtualMachineScaleSets/aks-nodepool1-17411545-vmss"
"320ef91f-089c-430a-89e7-0888d238bf73","Delete Virtual Machines in a Virtual Machine Scale Set","Accepted","Administrative","Informational","2026-08-14T23:43:32.891Z","6ad49bb6-a255-4718-b1c5-dce7e90c4130","AzureContainerService","Microsoft.Compute/virtualMachineScaleSets","MC_rg-dr-primary-eastus_aks-primary-eastus_eastus","/subscriptions/6ad49bb6-a255-4718-b1c5-dce7e90c4130/resourceGroups/MC_rg-dr-primary-eastus_aks-primary-eastus_eastus/providers/Microsoft.Compute/virtualMachineScaleSets/aks-nodepool1-17411545-vmss"
"320ef91f-089c-430a-89e7-0888d238bf73","Delete Virtual Machines in a Virtual Machine Scale Set","Succeeded","Administrative","Informational","2026-08-14T23:43:36.256Z","6ad49bb6-a255-4718-b1c5-dce7e90c4130","AzureContainerService","Microsoft.Compute/virtualMachineScaleSets","MC_rg-dr-primary-eastus_aks-primary-eastus_eastus","/subscriptions/6ad49bb6-a255-4718-b1c5-dce7e90c4130/resourceGroups/MC_rg-dr-primary-eastus_aks-primary-eastus_eastus/providers/Microsoft.Compute/virtualMachineScaleSets/aks-nodepool1-17411545-vmss"
"255c16eb-2186-4deb-a436-7946b6d5c511","Create or Update Network Security Group","Succeeded","Administrative","Informational","2026-08-14T23:43:34.564Z","6ad49bb6-a255-4718-b1c5-dce7e90c4130","aks-primary-eastus","Microsoft.Network/networkSecurityGroups","mc_rg-dr-primary-eastus_aks-primary-eastus_eastus","/subscriptions/6ad49bb6-a255-4718-b1c5-dce7e90c4130/resourceGroups/mc_rg-dr-primary-eastus_aks-primary-eastus_eastus/providers/Microsoft.Network/networkSecurityGroups/aks-agentpool-26619185-nsg"
"255c16eb-2186-4deb-a436-7946b6d5c511","Create or Update Network Security Group","Started","Administrative","Informational","2026-08-14T23:43:34.454Z","6ad49bb6-a255-4718-b1c5-dce7e90c4130","aks-primary-eastus","Microsoft.Network/networkSecurityGroups","mc_rg-dr-primary-eastus_aks-primary-eastus_eastus","/subscriptions/6ad49bb6-a255-4718-b1c5-dce7e90c4130/resourceGroups/mc_rg-dr-primary-eastus_aks-primary-eastus_eastus/providers/Microsoft.Network/networkSecurityGroups/aks-agentpool-26619185-nsg"
"af9887da-9310-4b09-aeff-e38d21a870ba","Start Managed Cluster","Succeeded","Administrative","Informational","2026-08-14T23:42:09.122Z","6ad49bb6-a255-4718-b1c5-dce7e90c4130","zinal3933@gmail.com","Microsoft.ContainerService/managedClusters","rg-dr-primary-eastus","/subscriptions/6ad49bb6-a255-4718-b1c5-dce7e90c4130/resourceGroups/rg-dr-primary-eastus/providers/Microsoft.ContainerService/managedClusters/aks-primary-eastus"
"af9887da-9310-4b09-aeff-e38d21a870ba","Start Managed Cluster","Started","Administrative","Informational","2026-08-14T23:37:50.299Z","6ad49bb6-a255-4718-b1c5-dce7e90c4130","zinal3933@gmail.com","Microsoft.ContainerService/managedClusters","rg-dr-primary-eastus","/subscriptions/6ad49bb6-a255-4718-b1c5-dce7e90c4130/resourceGroups/rg-dr-primary-eastus/providers/Microsoft.ContainerService/managedClusters/aks-primary-eastus"
